,location,total_sqft,bath,price,bhk
39,2nd Stage Nagarbhavi,1500.0,4,233.0,6
40,5th Block Hbr Layout,1206.0,2,56.0,2
41,5th Block Hbr Layout,1270.0,2,70.0,3
42,5th Block Hbr Layout,1312.0,2,69.0,2
43,5th Block Hbr Layout,1100.0,2,48.0,2
44,5th Block Hbr Layout,3600.0,5,130.0,5
45,5th Block Hbr Layout,5100.0,5,300.0,6
46,5th Phase JP Nagar,1075.0,2,60.0,2
47,5th Phase JP Nagar,1150.0,3,52.5,2
48,5th Phase JP Nagar,1256.0,2,62.8,2
49,5th Phase JP Nagar,1207.0,2,63.0,2
50,5th Phase JP Nagar,1725.0,2,100.0,3
51,5th Phase JP Nagar,1440.0,2,60.0,2
52,5th Phase JP Nagar,1400.0,2,88.0,3
53,5th Phase JP Nagar,1450.0,2,58.0,2
54,5th Phase JP Nagar,1700.0,2,100.0,3
55,5th Phase JP Nagar,1485.0,2,67.0,3
56,5th Phase JP Nagar,2500.0,5,110.0,5
57,5th Phase JP Nagar,600.0,1,30.0,1
58,5th Phase JP Nagar,1390.0,2,65.0,2
59,5th Phase JP Nagar,1256.0,2,62.8,2
60,5th Phase JP Nagar,1000.0,2,48.0,2
61,5th Phase JP Nagar,1350.0,2,75.0,3
62,5th Phase JP Nagar,552.0,1,23.5,1
63,5th Phase JP Nagar,1200.0,2,51.0,2
64,5th Phase JP Nagar,1240.0,3,60.0,3
65,5th Phase JP Nagar,1550.0,3,75.0,3
66,5th Phase JP Nagar,1485.0,2,66.0,3
67,5th Phase JP Nagar,1030.0,2,57.0,2
68,5th Phase JP Nagar,1200.0,2,68.0,2
69,5th Phase JP Nagar,1190.0,2,61.8,2
70,5th Phase JP Nagar,4000.0,5,170.0,5
71,5th Phase JP Nagar,1080.0,2,53.0,2
72,5th Phase JP Nagar,1041.0,2,54.0,2
73,5th Phase JP Nagar,812.0,2,42.0,2
74,5th Phase JP Nagar,1010.0,2,57.0,2
75,5th Phase JP Nagar,1450.0,2,73.0,3
76,5th Phase JP Nagar,2500.0,8,95.0,7
77,5th Phase JP Nagar,1075.0,2,60.0,2
78,6th Phase JP Nagar,1192.0,2,74.0,2
79,6th Phase JP Nagar,1180.0,2,80.0,2
80,6th Phase JP Nagar,3245.0,4,250.0,4
81,6th Phase JP Nagar,1645.0,3,100.0,3
82,6th Phase JP Nagar,1140.0,2,65.0,2
83,6th Phase JP Nagar,2040.0,3,200.0,3
84,6th Phase JP Nagar,1213.0,2,63.0,2
85,6th Phase JP Nagar,1216.0,2,60.0,2
86,6th Phase JP Nagar,1460.0,2,80.0,2
87,6th Phase JP Nagar,2003.0,3,200.0,3
88,6th Phase JP Nagar,1810.0,3,131.0,3
89,6th Phase JP Nagar,1515.0,2,135.0,3
90,6th Phase JP Nagar,1192.0,2,75.0,2
91,6th Phase JP Nagar,1280.0,2,88.0,2
92,7th Phase JP Nagar,1080.0,2,72.0,2
93,7th Phase JP Nagar,1270.0,2,93.0,2
94,7th Phase JP Nagar,1420.0,2,100.0,3
95,7th Phase JP Nagar,1850.0,3,150.0,3
96,7th Phase JP Nagar,1245.0,2,94.0,2
97,7th Phase JP Nagar,1175.0,2,82.0,2
98,7th Phase JP Nagar,1400.0,2,95.0,3
99,7th Phase JP Nagar,2225.0,3,160.0,3
100,7th Phase JP Nagar,1050.0,2,71.0,2
101,7th Phase JP Nagar,1100.0,2,46.0,2
102,7th Phase JP Nagar,918.0,2,50.49,2
103,7th Phase JP Nagar,1450.0,2,100.0,3
104,7th Phase JP Nagar,1190.0,2,49.98,2
105,7th Phase JP Nagar,1420.0,2,96.0,3
106,7th Phase JP Nagar,1680.0,3,120.0,3
107,7th Phase JP Nagar,980.0,2,69.0,2
108,7th Phase JP Nagar,1180.0,2,72.0,2
109,7th Phase JP Nagar,1050.0,2,57.0,3
110,7th Phase JP Nagar,1343.0,2,56.41,3
111,7th Phase JP Nagar,1405.0,2,59.01,3
112,7th Phase JP Nagar,1400.0,3,115.0,3
113,7th Phase JP Nagar,1270.0,2,83.0,2
114,7th Phase JP Nagar,3300.0,4,150.0,4
115,7th Phase JP Nagar,2503.0,4,188.0,4
116,7th Phase JP Nagar,2200.0,3,190.0,3
117,7th Phase JP Nagar,1250.0,3,65.0,3
118,7th Phase JP Nagar,1385.0,2,58.17,3
119,7th Phase JP Nagar,1575.0,2,110.0,3
120,7th Phase JP Nagar,1850.0,3,140.0,3
121,7th Phase JP Nagar,1575.0,2,120.0,3
122,7th Phase JP Nagar,1850.0,3,150.0,3
123,7th Phase JP Nagar,1680.0,3,120.0,3
124,7th Phase JP Nagar,1175.0,2,82.5,2
125,7th Phase JP Nagar,3300.0,4,160.0,3
126,7th Phase JP Nagar,2200.0,4,105.0,3
127,7th Phase JP Nagar,1215.0,2,90.0,2
128,7th Phase JP Nagar,1050.0,2,75.0,2
129,7th Phase JP Nagar,1300.0,3,89.13,3
130,7th Phase JP Nagar,1130.0,2,73.0,2
131,7th Phase JP Nagar,1450.0,3,100.0,3
132,7th Phase JP Nagar,1350.0,3,58.0,3
133,7th Phase JP Nagar,1050.0,2,50.0,2
134,7th Phase JP Nagar,1275.0,2,87.0,2
135,7th Phase JP Nagar,1460.0,3,70.0,3
136,7th Phase JP Nagar,1650.0,3,110.0,3
137,7th Phase JP Nagar,850.0,2,42.0,2
138,7th Phase JP Nagar,1680.0,3,117.0,3
139,7th Phase JP Nagar,1850.0,3,150.0,3
140,7th Phase JP Nagar,1236.0,2,61.33,2
141,7th Phase JP Nagar,1000.0,2,53.0,2
142,7th Phase JP Nagar,1680.0,3,125.0,3
143,7th Phase JP Nagar,1675.0,2,135.0,3
144,7th Phase JP Nagar,1187.0,2,59.0,2
145,7th Phase JP Nagar,1850.0,3,155.0,3
146,7th Phase JP Nagar,1000.0,2,61.0,2
147,7th Phase JP Nagar,1460.0,2,100.0,3
148,7th Phase JP Nagar,1650.0,3,110.0,3
149,7th Phase JP Nagar,1200.0,2,62.5,2
150,7th Phase JP Nagar,1000.0,2,70.65,2
151,7th Phase JP Nagar,1080.0,2,75.0,2
152,7th Phase JP Nagar,1415.0,3,65.0,3
153,7th Phase JP Nagar,1680.0,3,125.0,3
154,7th Phase JP Nagar,1460.0,2,97.0,3
155,7th Phase JP Nagar,1120.0,2,65.0,2
156,7th Phase JP Nagar,1100.0,3,60.0,2
157,7th Phase JP Nagar,1790.0,3,120.0,3
158,7th Phase JP Nagar,1680.0,3,117.0,3
159,7th Phase JP Nagar,1050.0,2,77.0,2
160,7th Phase JP Nagar,1050.0,2,75.0,2
161,7th Phase JP Nagar,1040.0,2,75.0,2
162,7th Phase JP Nagar,1400.0,2,95.0,3
163,7th Phase JP Nagar,1800.0,3,130.0,3
164,7th Phase JP Nagar,1050.0,2,68.0,2
165,7th Phase JP Nagar,1000.0,2,60.0,2
166,7th Phase JP Nagar,1680.0,3,125.0,3
167,7th Phase JP Nagar,1050.0,2,77.47,2
168,7th Phase JP Nagar,1270.0,2,80.0,2
169,7th Phase JP Nagar,1463.0,2,61.45,3
170,7th Phase JP Nagar,1680.0,3,122.0,3
171,7th Phase JP Nagar,1130.0,2,85.0,2
172,7th Phase JP Nagar,1680.0,3,130.0,3
173,7th Phase JP Nagar,980.0,2,77.44,2
174,7th Phase JP Nagar,1680.0,3,112.0,3
175,7th Phase JP Nagar,1515.0,2,76.0,3
176,7th Phase JP Nagar,2095.0,3,150.0,3
177,7th Phase JP Nagar,1976.0,3,145.0,3
178,7th Phase JP Nagar,1600.0,2,110.0,3
179,7th Phase JP Nagar,1765.0,3,118.0,3
180,7th Phase JP Nagar,1275.0,2,88.0,3
181,7th Phase JP Nagar,1450.0,2,102.0,3
182,7th Phase JP Nagar,1575.0,2,110.0,3
183,7th Phase JP Nagar,1075.0,2,57.0,3
184,7th Phase JP Nagar,750.0,1,47.0,1
185,7th Phase JP Nagar,990.0,2,50.0,2
186,7th Phase JP Nagar,1000.0,1,60.0,1
187,7th Phase JP Nagar,1680.0,2,92.0,3
188,7th Phase JP Nagar,1430.0,2,102.0,3
189,7th Phase JP Nagar,1128.0,2,60.0,2
190,7th Phase JP Nagar,1140.0,2,57.0,2
191,7th Phase JP Nagar,1420.0,3,90.0,3
192,7th Phase JP Nagar,1530.0,2,108.0,2
193,8th Phase JP Nagar,1073.5,2,54.005,2
194,8th Phase JP Nagar,451.0,1,29.9,1
195,8th Phase JP Nagar,1240.0,3,43.5,3
196,8th Phase JP Nagar,1062.0,2,42.47,2
197,8th Phase JP Nagar,1230.0,2,43.5,3
198,8th Phase JP Nagar,1455.0,3,73.31,3
199,8th Phase JP Nagar,871.0,2,55.0,2
200,8th Phase JP Nagar,1098.0,2,43.91,2
201,8th Phase JP Nagar,1800.0,3,80.0,3
202,8th Phase JP Nagar,2700.0,4,130.0,4
203,8th Phase JP Nagar,1080.0,2,38.0,2
204,8th Phase JP Nagar,1059.0,2,34.5,2
205,8th Phase JP Nagar,1080.0,2,35.0,2
206,8th Phase JP Nagar,1275.0,2,41.5,3
207,8th Phase JP Nagar,1062.0,2,42.47,2
208,8th Phase JP Nagar,500.0,1,31.0,1
209,8th Phase JP Nagar,1100.0,2,35.0,2
210,8th Phase JP Nagar,2100.0,4,92.0,4
211,8th Phase JP Nagar,1035.0,2,39.33,2
212,8th Phase JP Nagar,909.0,2,40.9,2
213,8th Phase JP Nagar,1431.5,3,72.02,3
214,8th Phase JP Nagar,1900.0,4,90.0,3
215,8th Phase JP Nagar,500.0,1,30.0,1
216,8th Phase JP Nagar,1125.0,2,36.94,2
217,8th Phase JP Nagar,1100.0,2,35.0,2
218,8th Phase JP Nagar,1089.0,2,43.55,2
219,8th Phase JP Nagar,1605.0,2,65.0,3
220,8th Phase JP Nagar,1504.0,2,83.0,3
221,8th Phase JP Nagar,2600.0,4,115.0,4
222,8th Phase JP Nagar,1368.0,2,54.71,3
223,8th Phase JP Nagar,1089.0,2,43.55,2
224,8th Phase JP Nagar,1224.0,2,48.95,3
225,8th Phase JP Nagar,1513.0,2,62.0,2
226,8th Phase JP Nagar,1298.0,2,59.0,2
227,8th Phase JP Nagar,1006.0,2,44.0,2
228,8th Phase JP Nagar,500.0,1,33.0,1
229,8th Phase JP Nagar,1160.0,2,95.0,2
230,8th Phase JP Nagar,1245.0,2,59.0,2
231,8th Phase JP Nagar,1510.0,2,80.0,2
232,8th Phase JP Nagar,3300.0,3,165.0,3
233,8th Phase JP Nagar,1730.0,5,75.0,5
234,8th Phase JP Nagar,1296.0,2,51.83,3
235,8th Phase JP Nagar,1275.0,3,45.0,3
236,8th Phase JP Nagar,1046.0,2,48.0,2
237,8th Phase JP Nagar,1269.0,2,50.75,3
238,8th Phase JP Nagar,1408.0,3,80.0,3
239,8th Phase JP Nagar,1500.0,2,55.0,3
240,9th Phase JP Nagar,1005.0,2,50.0,2
241,9th Phase JP Nagar,1890.0,2,85.0,3
242,9th Phase JP Nagar,1100.0,2,65.0,2
243,9th Phase JP Nagar,1080.0,2,37.0,2
244,9th Phase JP Nagar,1035.0,2,45.0,2
245,9th Phase JP Nagar,5000.0,4,290.0,4
246,9th Phase JP Nagar,1164.0,2,56.0,2
247,9th Phase JP Nagar,1005.0,2,42.0,2
248,9th Phase JP Nagar,1127.0,2,50.0,2
249,9th Phase JP Nagar,1005.0,2,43.0,2
250,9th Phase JP Nagar,835.0,2,37.0,2
251,9th Phase JP Nagar,1050.0,2,39.0,2
252,9th Phase JP Nagar,660.0,2,27.0,2
253,9th Phase JP Nagar,600.0,1,20.0,1
254,9th Phase JP Nagar,1466.0,2,71.0,2
255,9th Phase JP Nagar,1890.0,2,93.0,3
256,9th Phase JP Nagar,1079.0,2,60.0,2
257,9th Phase JP Nagar,1480.0,2,80.0,2
258,9th Phase JP Nagar,1200.0,2,80.0,2
259,9th Phase JP Nagar,905.0,2,32.0,2
260,9th Phase JP Nagar,1073.0,2,52.36,2
261,9th Phase JP Nagar,1719.3,2,88.0,3
262,9th Phase JP Nagar,1780.0,3,88.0,3
263,9th Phase JP Nagar,1300.0,2,58.0,3
264,9th Phase JP Nagar,1522.0,3,90.0,3
265,9th Phase JP Nagar,1571.0,3,65.0,3
266,9th Phase JP Nagar,1900.0,4,80.0,4
267,9th Phase JP Nagar,890.0,2,45.0,2
268,9th Phase JP Nagar,1240.0,2,39.89,3
269,9th Phase JP Nagar,5000.0,4,300.0,4
270,9th Phase JP Nagar,1240.0,2,42.85,3
271,9th Phase JP Nagar,1050.0,2,35.0,2
272,9th Phase JP Nagar,1331.95,2,69.0,2
273,AECS Layout,1100.0,2,45.0,2
274,AECS Layout,1028.0,2,42.0,2
275,AECS Layout,1199.0,2,65.0,2
276,AECS Layout,1080.0,2,55.0,2
277,AECS Layout,1123.0,2,64.0,2
278,AECS Layout,1308.0,2,60.0,2
279,AECS Layout,1005.0,2,55.0,2
280,AECS Layout,2000.0,3,90.0,3
281,Abbigere,985.0,2,40.39,2
282,Abbigere,2200.0,6,68.0,6
283,Abbigere,765.0,2,30.0,1
284,Abbigere,880.0,2,35.0,2
285,Abbigere,795.0,2,32.54,2
286,Abbigere,1005.0,2,39.59,2
287,Abbigere,734.0,1,19.82,1
288,Abbigere,1260.0,2,45.0,3
289,Abbigere,1020.0,2,41.82,2
290,Abbigere,985.0,2,40.39,2
291,Abbigere,2500.0,6,81.0,6
292,Abbigere,795.0,2,32.54,2
293,Abbigere,1130.0,2,46.33,2
294,Abbigere,795.0,1,32.6,2
295,Abbigere,3000.0,8,150.0,8
296,Abbigere,985.0,2,38.92,2
297,Abbigere,1000.0,2,41.0,2
298,Abbigere,995.0,2,40.8,2
299,Abbigere,1020.0,2,40.8,2
300,Akshaya Nagar,1388.0,2,57.0,2
301,Akshaya Nagar,1070.0,2,54.0,2
302,Akshaya Nagar,1280.0,2,58.0,2
303,Akshaya Nagar,1662.0,3,85.1,3
304,Akshaya Nagar,1897.0,3,120.0,3
305,Akshaya Nagar,1410.0,2,75.0,3
306,Akshaya Nagar,1360.0,2,85.0,3
307,Akshaya Nagar,1600.0,2,65.0,3
308,Akshaya Nagar,1410.0,2,80.0,3
309,Akshaya Nagar,1662.0,3,85.0,3
310,Akshaya Nagar,1080.0,4,75.0,4
311,Akshaya Nagar,1662.0,3,85.5,3
312,Akshaya Nagar,1280.0,2,60.0,2
313,Akshaya Nagar,1666.0,3,95.0,3
314,Akshaya Nagar,1575.0,3,90.0,3
315,Akshaya Nagar,1430.0,2,75.0,3
316,Akshaya Nagar,1419.0,2,73.0,3
317,Akshaya Nagar,1280.0,2,60.0,2
318,Akshaya Nagar,1200.0,2,50.0,2
319,Akshaya Nagar,1092.0,2,60.0,2
320,Akshaya Nagar,1690.0,3,85.0,3
321,Akshaya Nagar,1700.0,3,80.0,3
322,Akshaya Nagar,1897.0,4,93.0,3
323,Akshaya Nagar,1884.0,3,98.0,3
324,Akshaya Nagar,1314.0,2,68.8,2
325,Akshaya Nagar,1690.0,3,85.0,3
326,Akshaya Nagar,1265.0,2,67.0,2
327,Akshaya Nagar,1126.0,2,55.0,2
328,Akshaya Nagar,2300.0,4,102.0,3
329,Akshaya Nagar,1662.0,3,90.0,3
330,Akshaya Nagar,1420.0,2,75.0,3
331,Akshaya Nagar,1412.0,2,88.0,3
332,Akshaya Nagar,1434.0,3,84.0,3
333,Akshaya Nagar,1890.0,4,100.0,3
334,Akshaya Nagar,2650.0,3,125.0,3
335,Akshaya Nagar,1419.0,2,87.0,3
336,Akshaya Nagar,1300.0,2,54.0,2
337,Akshaya Nagar,1690.0,3,85.0,3
338,Akshaya Nagar,1113.0,2,52.0,2
339,Akshaya Nagar,1820.0,4,95.0,3
340,Akshaya Nagar,1100.0,2,48.0,2
341,Akshaya Nagar,1896.0,3,102.0,3
342,Akshaya Nagar,1300.0,2,66.0,2
343,Akshaya Nagar,1225.0,2,68.0,2
344,Akshaya Nagar,1179.0,2,51.0,2
345,Akshaya Nagar,1421.0,2,73.0,3
346,Akshaya Nagar,1893.0,4,95.0,3
347,Akshaya Nagar,900.0,2,45.0,2
348,Ambalipura,1105.0,2,75.0,2
349,Ambalipura,1800.0,3,110.0,3
350,Ambalipura,1150.0,2,80.0,2
351,Ambalipura,1250.0,2,66.25,2
352,Ambalipura,1332.0,2,79.0,2
353,Ambalipura,1730.0,3,120.0,3
354,Ambalipura,3500.0,3,198.0,3
355,Ambalipura,1230.0,2,66.25,2
356,Ambalipura,1351.0,2,77.0,2
357,Ambalipura,2550.0,4,149.0,4
358,Ambalipura,1817.0,3,102.0,3
359,Ambalipura,2750.0,4,142.0,4
360,Ambalipura,1303.0,2,80.0,2
361,Ambalipura,1607.0,2,112.0,3
362,Ambalipura,770.0,1,43.82,1
363,Ambalipura,1700.0,2,76.0,2
364,Ambalipura,1060.0,2,58.5,2
365,Ambalipura,1650.0,3,100.0,3
366,Ambalipura,1607.0,2,112.0,3
367,Ambalipura,1198.0,2,80.0,2
368,Ambedkar Nagar,1935.0,4,130.0,3
369,Ambedkar Nagar,1424.0,2,90.0,2
370,Ambedkar Nagar,2225.0,4,169.0,3
371,Ambedkar Nagar,1862.0,3,120.0,3
372,Ambedkar Nagar,1850.0,4,139.0,3
373,Ambedkar Nagar,1936.0,4,126.0,3
374,Ambedkar Nagar,1862.0,3,119.0,3
375,Ambedkar Nagar,1424.0,2,90.0,2
376,Ambedkar Nagar,2150.0,4,125.0,3
377,Ambedkar Nagar,3530.0,4,290.0,4
378,Ambedkar Nagar,1856.0,3,120.0,3
379,Ambedkar Nagar,1852.0,3,130.0,3
380,Ambedkar Nagar,1850.0,4,120.0,3
381,Ambedkar Nagar,1367.0,2,86.0,2
382,Ambedkar Nagar,3565.0,4,255.0,4
383,Ambedkar Nagar,1409.0,2,95.0,2
384,Ambedkar Nagar,1950.0,4,120.0,3
385,Ambedkar Nagar,1921.0,4,129.0,3
386,Ambedkar Nagar,1920.0,4,121.0,3
387,Ambedkar Nagar,1935.0,4,125.0,3
388,Ambedkar Nagar,1852.0,4,122.0,3
389,Ambedkar Nagar,1950.0,4,120.0,3
390,Ambedkar Nagar,1852.0,3,125.0,3
391,Ambedkar Nagar,1850.0,4,121.0,3
392,Ambedkar Nagar,1425.0,2,94.0,2
393,Ambedkar Nagar,2395.0,4,150.0,3
394,Amruthahalli,900.0,2,40.0,2
395,Amruthahalli,1200.0,2,55.0,2
396,Amruthahalli,1900.0,3,135.0,3
397,Amruthahalli,924.0,2,45.0,2
398,Amruthahalli,900.0,2,60.0,2
399,Amruthahalli,1100.0,2,45.0,2
400,Amruthahalli,1200.0,2,55.0,2
401,Amruthahalli,1350.0,2,63.0,3
402,Amruthahalli,1605.0,3,65.0,3
403,Amruthahalli,1700.0,3,77.0,3
404,Amruthahalli,1450.0,2,85.0,3
405,Amruthahalli,1200.0,2,55.0,2
406,Amruthahalli,1250.0,2,79.0,2
407,Amruthahalli,1190.0,2,50.0,2
408,Amruthahalli,1202.0,2,65.0,2
409,Amruthahalli,1340.0,2,75.0,2
410,Amruthahalli,2650.0,4,175.0,3
411,Amruthahalli,1450.0,2,90.0,3
412,Amruthahalli,1025.0,2,42.0,2
413,Amruthahalli,485.0,1,19.5,1
414,Anandapura,1167.0,2,43.76,2
415,Anandapura,1000.0,2,55.0,2
416,Anandapura,1141.0,2,42.79,2
417,Anandapura,1576.0,3,59.1,3
418,Anandapura,1200.0,2,67.0,2
419,Anandapura,1200.0,2,58.0,2
420,Anandapura,1151.0,2,43.1,2
421,Anandapura,1141.0,2,42.75,2
422,Anandapura,900.0,2,48.0,2
423,Anandapura,1749.0,4,90.0,4
424,Anandapura,1151.0,2,42.9,2
425,Anandapura,1576.0,3,58.0,3
426,Anandapura,1250.0,2,45.0,2
427,Anandapura,1151.0,2,43.16,2
428,Anandapura,1200.0,2,58.0,2
429,Anandapura,1200.0,2,66.0,3
430,Anandapura,1415.0,2,74.0,3
431,Anandapura,1200.0,2,50.0,2
432,Anandapura,1141.0,2,50.0,2
433,Anandapura,1576.0,3,58.7,3
434,Ananth Nagar,500.0,1,14.0,1
435,Ananth Nagar,1100.0,2,31.5,2
436,Ananth Nagar,982.0,2,24.55,2
437,Ananth Nagar,500.0,2,14.0,1
438,Ananth Nagar,900.0,2,22.5,2
439,Ananth Nagar,908.0,2,26.0,2
440,Ananth Nagar,870.0,2,36.0,2
441,Ananth Nagar,937.0,2,35.0,2
442,Ananth Nagar,960.0,2,37.0,2
443,Ananth Nagar,500.0,1,14.0,1
444,Ananth Nagar,1000.0,2,29.7,2
445,Ananth Nagar,850.0,2,25.99,2
446,Ananth Nagar,902.0,2,25.26,2
447,Ananth Nagar,1470.0,3,54.0,3
448,Ananth Nagar,810.0,2,25.5,2
449,Ananth Nagar,890.0,2,27.0,2
450,Ananth Nagar,1200.0,2,36.0,2
451,Ananth Nagar,1319.0,3,37.75,3
452,Ananth Nagar,1319.0,3,42.0,3
453,Ananth Nagar,1000.0,2,25.0,2
454,Ananth Nagar,902.0,2,25.0,2
455,Ananth Nagar,930.0,2,25.99,2
456,Ananth Nagar,1074.0,2,26.85,2
457,Ananth Nagar,500.0,1,14.0,1
458,Ananth Nagar,1010.0,2,38.0,2
459,Ananth Nagar,992.0,2,24.8,2
460,Anekal,1200.0,1,36.0,2
461,Anekal,656.0,2,22.0,2
462,Anekal,620.0,2,22.0,2
463,Anekal,600.0,1,16.5,1
464,Anekal,925.0,2,40.0,2
465,Anekal,530.0,1,18.0,1
466,Anekal,1800.0,3,68.0,3
467,Anekal,1200.0,1,36.0,2
468,Anekal,351.0,1,16.0,1
469,Anekal,1035.0,2,38.3,2
470,Anekal,888.0,2,34.0,2
471,Anekal,1200.0,2,36.1,2
472,Anekal,700.0,1,19.4,2
473,Anekal,1200.0,1,36.0,2
474,Anekal,1200.0,2,36.0,4
475,Anekal,766.0,2,28.0,2
476,Anekal,967.0,2,45.0,3
477,Anekal,620.0,1,23.5,2
478,Anekal,1150.0,3,45.0,3
479,Anekal,1200.0,1,36.0,2
480,Anekal,1200.0,1,36.0,2
481,Anekal,400.0,1,11.5,1
482,Anekal,456.0,1,15.0,1
483,Anekal,1200.0,1,36.0,2
484,Anekal,1200.0,1,36.0,2
485,Anekal,2400.0,4,95.0,3
486,Anekal,1200.0,2,36.1,2
487,Anekal,1200.0,2,36.1,2
488,Anekal,680.0,1,21.0,2
489,Anekal,420.0,1,12.5,1
490,Anekal,614.0,1,28.0,2
491,Anekal,1140.0,2,52.0,2
492,Anekal,625.0,1,25.0,2
493,Anjanapura,1850.0,4,86.0,4
494,Anjanapura,1070.0,2,39.0,2
495,Anjanapura,1500.0,3,121.0,3
496,Anjanapura,1070.0,2,37.0,2
497,Anjanapura,950.0,2,40.0,2
498,Anjanapura,1280.0,2,45.0,3
499,Anjanapura,710.0,2,25.0,2
500,Anjanapura,1347.0,2,37.72,3
501,Anjanapura,950.0,2,32.0,2
502,Anjanapura,1800.0,4,55.0,4
503,Anjanapura,1843.0,3,87.54,3
504,Anjanapura,1076.0,2,30.13,2
505,Anjanapura,950.0,2,30.0,2
506,Ardendale,1750.0,3,100.0,3
507,Ardendale,3198.0,4,200.0,4
508,Ardendale,2422.0,4,160.0,4
509,Ardendale,1750.0,3,100.0,3
510,Ardendale,3200.0,4,205.0,4
511,Ardendale,1728.0,3,95.0,3
512,Ardendale,2062.0,3,140.0,4
513,Ardendale,1732.46,3,92.0,3
514,Ardendale,2062.0,3,150.0,4
515,Ardendale,2800.0,4,140.0,4
516,Ardendale,1224.0,2,70.0,2
517,Ardendale,1777.26,3,105.0,3
518,Ardendale,1650.0,3,82.0,3
519,Ardendale,2062.0,3,140.0,4
520,Ardendale,1650.0,3,82.0,3
521,Ardendale,1224.0,2,67.0,2
522,Ardendale,1723.0,3,95.0,3
523,Ardendale,1777.26,3,89.0,3
524,Ardendale,1777.26,3,92.0,3
525,Arekere,2060.0,3,140.0,3
526,Arekere,920.0,2,40.0,2
527,Arekere,1740.0,2,95.0,3
528,Arekere,1190.0,2,55.0,2
529,Arekere,600.0,1,28.0,1
530,Arekere,2072.0,3,108.0,3
531,Arekere,1100.0,2,55.0,2
532,Arekere,900.0,2,50.0,2
533,Arekere,1240.0,2,60.0,2
534,Arekere,900.0,2,44.5,2
535,Attibele,450.0,1,11.0,1
536,Attibele,1600.0,4,52.8,4
537,Attibele,656.0,2,25.0,2
538,Attibele,400.0,1,11.0,1
539,Attibele,400.0,1,12.0,1
540,Attibele,400.0,1,14.0,1
541,Attibele,500.0,1,17.0,1
542,Attibele,2168.0,4,95.0,4
543,Attibele,395.0,1,10.25,1
544,Attibele,420.0,1,17.0,1
545,Attibele,1639.0,2,40.98,3
546,Attibele,418.0,1,12.0,1
547,Attibele,1200.0,2,42.0,2
548,Attibele,400.0,1,10.0,1
549,Attibele,695.0,1,25.0,2
550,Attibele,850.0,1,25.0,2
551,Attibele,2400.0,3,120.0,3
552,Attibele,450.0,1,12.5,1
553,Attibele,995.0,1,24.88,2
554,Attibele,900.0,1,25.0,2
555,Attibele,1174.0,2,29.35,2
556,Attibele,782.0,1,19.55,1
557,Attibele,1175.0,2,29.38,2
558,Attibele,656.0,2,25.0,2
559,Attibele,400.0,1,11.5,1
560,Attibele,460.0,1,13.0,1
561,Attibele,418.0,2,11.5,1
562,Attibele,1000.0,2,42.0,2
563,Attibele,550.0,1,11.5,1
564,Attibele,996.0,2,24.9,2
565,Attibele,410.0,1,10.0,1
566,Attibele,1700.0,3,65.0,3
567,Attibele,400.0,1,10.25,1
568,Attibele,656.0,2,25.0,2
569,Attibele,1500.0,3,90.0,3
570,Attibele,520.0,1,15.0,1
